PUE,WUE,Case,Climate Zone,Cooling system (Original),Cooling system,Data center size,type,Case (Original)
1.1699321,0.0163025110960006,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1557556,0.0201613027602434,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1149374,0.0336407534778118,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.152175,0.0208749771118164,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1212016,0.0351993329823017,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1467676,0.0253018904477357,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.0877645,0.0173833612352609,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1194364,0.0380545407533645,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1044818,0.0263380352407693,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1723813,0.0165770817548036,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1647434,0.0142388278618454,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.169896,0.0168736428022384,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.145507,0.0157506596297025,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1385741,0.0258353259414434,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1316098,0.0341129004955291,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1369596,0.0191996172070503,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1772072,0.022067941725254,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.0613251,0.0185415111482143,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1946499,0.0162844378501176,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1581746,0.0300615206360816,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1671813,0.0247152000665664,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.131245,0.0057995277456939,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1699357,0.0170844569802284,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1627576,0.0159133989363908,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1764002,0.019578842446208,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1534764,0.0164060350507497,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1651666,0.0142698362469673,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1456388,0.0287046395242214,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1046596,0.017134353518486,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1996914,0.0412504188716411,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.0828884,0.0383486412465572,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1556664,0.0242004562169313,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
1.1154091,0.0230739489197731,0,7,Airside economizer& adiabatic cooling (air-cooled chiller),Airside economizer& adiabatic cooling (air-cooled chiller),Large-scale,Cluster 1,0
